referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,location.state,location.postalCode,url,location.crossStreet,venuePage.id,storeId,menu.externalUrl,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461333071,1,5,52,false,United Kingdom,GB,7984,-1.588636469031119,55.01896267410839,Activ Technology,518101ea498e72610e38c033,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,,Newcastle,Cumbria,NE12 8EW,http://helloactiv.co.uk,Balliol Business Park West,,4621,,,,,,
v-1461333071,0,0,0,true,United Kingdom,GB,93080,-3.069202,54.726136,P & R Hellon Electrical,535859f2498edeafe6845678,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Office,Offices,Office,4bf58dd8d48988d124941735,,Wigton,,CA7 8EZ,,,,,,,,,,
v-1461333071,0,2,2,true,United Kingdom,GB,33826,-3.7785738,56.12976099999999,Hello Accountancy,5653e8c438fa70a7bed71127,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/financial_,Financial / Legal,Financial or Legal Services,Financial or Legal Service,503287a291d4c4b30a586d65,true,Alloa,Clackmannanshire,FK10 3EG,,,148608583,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,58117,-4.258915914417357,55.86476900629266,Hell On Earth,4ee5f16be5faffd733047c80,,,,,,,,,,,,,,,,,,,,,
v-1461333071,0,2,2,false,United Kingdom,GB,1295,-4.258915914417357,55.86476900629266,Hell On Earth,4ee5f16be5faffd733047c80,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/financial_,Financial / Legal,Financial or Legal Services,Financial or Legal Service,503287a291d4c4b30a586d65,true,Alloa,Clackmannanshire,FK10 3EG,,,148608583,,,,,,,
v-1461333071,,0,0,true,United Kingdom,GB,41557,-3.7785738,56.12976099999999,Hello Accountancy,5653e8c438fa70a7bed71127,,,,,,,,,,,,,,,,,,,,,
v-1461333071,0,5,13,false,United Kingdom,GB,790,-2.609557641990882,51.44709996089366,Hello Blue,4ffac46de4b0fe7c228db601,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/design_,Design,Design Studios,Design Studio,4bf58dd8d48988d1f4941735,true,Bath and North East Somerset,Bath and North East Somerset,BS7 0BE,http://www.hellodelibristol.co.uk,,136946909,,,,,,,
v-1461333071,,1,1,false,United Kingdom,GB,1843,-2.594975,51.453661,Hello Charlie,4d4159ddc1d4721e24aa18c7,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,true,Bristol,Bristol,CF6 4 1,,,,,,,,,,
v-1461333071,,3,15,false,United Kingdom,GB,2048,-2.5927090644836426,51.45491614198447,Hello Cocoa,5580d347498e50a8151b4089,true,.png,https://ss3.4sqi.net/img/categories_v2/food/cafe_,Café,Cafés,Café,4bf58dd8d48988d16d941735,true,Penarth,Cardiff,CF10 1de,,,,,,,,,,
v-1461333071,,1,5,true,United Kingdom,GB,6638,-2.5742537999999513,51.4953195,Hello Deli,55ca18be498e8bf31b8a3214,true,.png,https://ss3.4sqi.net/img/categories_v2/food/deli_,Deli / Bodega,Delis / Bodegas,Deli / Bodega,4bf58dd8d48988d146941735,true,Butetown,Dorset,BH8 8UH,,,,,,,,,,
v-1461333071,,3,7,false,United Kingdom,GB,39179,-3.17463486,51.43949057,Hello Gorgeous!,4c1268c57f7f2d7f8338dd68,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics,Cosmetics Shops,Cosmetics Shop,4bf58dd8d48988d10c951735,true,Bournemouth,,,,,,,,,,,,
v-1461333071,,2,7,false,United Kingdom,GB,38948,-3.168658,51.475319,Hello Starling,5396fe46498e14bd1caf126f,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Advertising Agency,Advertising Agencies,Advertising Agency,52e81612bcbc57f1066b7a3d,true,,,,,,,,,,,,,
v-1461333071,,2,20,false,United Kingdom,GB,39798,-3.180734,51.476868,Hell On Earth,4bd0a66c046076b020697071,true,.png,https://ss3.4sqi.net/img/categories_v2/building/apartment_,Residential,Residential Buildings (Apartments / Condos),Residential Building (Apartment / Condo),4d954b06a243a5684965b473,,,,,,,,,,,,,,
v-1461333071,,1,4,false,United Kingdom,GB,53759,-2.250667,51.8684,hell on earth,5423bf59498e74a6c8bff457,true,.png,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro,Bistros,Bistro,52e81612bcbc57f1066b79f1,,,,,,,,,,,,,,
v-1461333071,,1,1,false,United Kingdom,GB,90749,-2.122643,50.684502,Hello Fresh Time,56a27af9498ecca51e612c80,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Driving School,Driving Schools,Driving School,52e81612bcbc57f1066b7a42,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,94349,-1.8703901767730713,50.73111097963459,Hello Driving School,503d1cf1b0ed55adf5e5de2e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/default_,Shop,Miscellaneous Shops,Miscellaneous Shop,4bf58dd8d48988d1ff941735,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,108048,-1.8874911162939334,52.30204730080983,hello there Computers,51028a8be4b0a25f8662aa83,true,.png,https://ss3.4sqi.net/img/categories_v2/education/academicbuilding_,Academic Building,College Academic Buildings,College Academic Building,4bf58dd8d48988d198941735,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,100116,-1.26414,51.771995,#hellonearth,5334cf8d498e725e04c44f15,,,,,,,,,,,,,,,,,,,,,
v-1461333071,0,1,5,false,United Kingdom,GB,943,-3.168658,51.475319,Hello Starling,5396fe46498e14bd1caf126f,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Advertising Agency,Advertising Agencies,Advertising Agency,52e81612bcbc57f1066b7a3d,true,Butetown,Cardiff,CF10 1de,http://www.hellodelibristol.co.uk,,136946909,,,,,,,
v-1461333071,,3,7,false,United Kingdom,GB,352,-3.180734,51.476868,Hell On Earth,4bd0a66c046076b020697071,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics,Cosmetics Shops,Cosmetics Shop,4bf58dd8d48988d10c951735,true,Penarth,Bath and North East Somerset,CF6 4 1,,,,,,,,,,
v-1461333071,,3,15,false,United Kingdom,GB,4524,-3.17463486,51.43949057,Hello Gorgeous!,4c1268c57f7f2d7f8338dd68,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/design_,Design,Design Studios,Design Studio,4bf58dd8d48988d1f4941735,true,Bath and North East Somerset,Bristol,BS7 0BE,,,,,,,,,,
v-1461333071,,5,13,false,United Kingdom,GB,39730,-2.609557641990882,51.44709996089366,Hello Blue,4ffac46de4b0fe7c228db601,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,true,Bristol,Dorset,BH8 8UH,,,,,,,,,,
v-1461333071,,1,1,false,United Kingdom,GB,40676,-2.594975,51.453661,Hello Charlie,4d4159ddc1d4721e24aa18c7,true,.png,https://ss3.4sqi.net/img/categories_v2/food/cafe_,Café,Cafés,Café,4bf58dd8d48988d16d941735,true,Bournemouth,,,,,,,,,,,,
v-1461333071,,2,7,false,United Kingdom,GB,40822,-2.5927090644836426,51.45491614198447,Hello Cocoa,5580d347498e50a8151b4089,true,.png,https://ss3.4sqi.net/img/categories_v2/food/deli_,Deli / Bodega,Delis / Bodegas,Deli / Bodega,4bf58dd8d48988d146941735,,,,,,,,,,,,,,
v-1461333071,,2,20,true,United Kingdom,GB,42022,-2.5742537999999513,51.4953195,Hello Deli,55ca18be498e8bf31b8a3214,true,.png,https://ss3.4sqi.net/img/categories_v2/building/apartment_,Residential,Residential Buildings (Apartments / Condos),Residential Building (Apartment / Condo),4d954b06a243a5684965b473,,,,,,,,,,,,,,
v-1461333071,,0,0,false,United Kingdom,GB,77362,-2.250667,51.8684,hell on earth,5423bf59498e74a6c8bff457,true,.png,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro,Bistros,Bistro,52e81612bcbc57f1066b79f1,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,115363,-2.122643,50.684502,Hello Fresh Time,56a27af9498ecca51e612c80,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Driving School,Driving Schools,Driving School,52e81612bcbc57f1066b7a42,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,123805,-1.8703901767730713,50.73111097963459,Hello Driving School,503d1cf1b0ed55adf5e5de2e,,,,,,,,,,,,,,,,,,,,,
v-1461333071,0,2,2,true,United Kingdom,GB,10074,-3.7785738,56.12976099999999,Hello Accountancy,5653e8c438fa70a7bed71127,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/financial_,Financial / Legal,Financial or Legal Services,Financial or Legal Service,503287a291d4c4b30a586d65,true,Alloa,Clackmannanshire,FK10 3EG,,,148608583,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,34662,-4.258915914417357,55.86476900629266,Hell On Earth,4ee5f16be5faffd733047c80,,,,,,,,,,,,,,,,,,,,,
v-1461333071,0,3,15,false,United Kingdom,GB,83859,-3.17463486,51.43949057,Hello Gorgeous!,4c1268c57f7f2d7f8338dd68,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics,Cosmetics Shops,Cosmetics Shop,4bf58dd8d48988d10c951735,true,Penarth,Cardiff,CF6 4 1,http://www.hellodelibristol.co.uk,,136946909,,,,,,,
