referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.city,location.state,allowMenuUrlEdit,location.postalCode,url,location.crossStreet,storeId,venuePage.id,venueChains.id,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,hasMenu
v-1461943866,1,60,555,true,Canada,CA,14903,-114.0325888999006,50.98611746877949,Lexus Of Calgary,4c462a36f1d80f47bf26a33c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,Calgary,AB,true,T2H 3C1,http://www.lexusofroyaloak.com,,,79331678,,,,,,,
v-1461943866,0,4,7,false,Canada,CA,14760,-114.03051137924194,50.985423538676756,Lexus of Calgary,53a4047e498e0ff4e30e6361,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,Calgary,AB,true,T2H 3C1,,,,135747097,,,,,,,
v-1461943866,,,,true,Canada,CA,31787,-114.19245540470189,51.153610816355936,Lexus of Royal Oak,52fd65d8498ef2bcd8a13df4,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,Calgary,AB,true,T3R 1R8,,,,,,,,,,,
v-1461943866,3,4,5,false,Canada,CA,13136,-97.17286930285339,49.851112462717,Woodhaven Lexus Toyota,4c0a532c6071a593ed4cdf32,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,Winnipeg,MB,true,R3K 2H8,https://www.birchwoodlexus.ca,in Pointe West Auto Mall,,,,,,,,,
v-1461943866,,4,8,false,Canada,CA,23575,-97.32858896255493,49.884210780462,Birchwood Lexus,52ea3e7d11d2cfbf069371c4,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Winnipeg,MB,true,R3K 2H8,http://www.birchwoodtoyota.ca,,,,,,,,,,
v-1461943866,,46,142,false,Canada,CA,23559,-97.32836302821435,49.884163010048425,Birchwood Toyota,4e6b797e62e1cd1d5526b793,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Winnipeg,MB,true,,,,,,,,,,,,
v-1461943866,2,24,160,false,Canada,CA,10136,-81.263213,42.936363,Lexus Of London,4be5d4462457a5930214ac15,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,London,ON,true,N2A 1B1,http://www.heffner.ca,,,34852477,,,,,,,
v-1461943866,7,173,1157,true,Canada,CA,77267,-80.42846202850342,43.426899746672966,Heffner Toyota Lexus,4b92c14bf964a520b41834e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Kitchener,ON,true,,,,,,,,,,,,
v-1461943866,1,22,670,false,Canada,CA,80447,-80.37016306269201,43.41651810859746,TMMC Lexus Plant,519be85a498e5dbd9cfdb03d,true,.png,https://ss3.4sqi.net/img/categories_v2/building/factory_,Factory,Factories,Factory,4eb1bea83b7b6f98df247e06,Cambridge,ON,,,,,,,,,,,,,
v-1461943866,0,5,22,false,Canada,CA,77794,-80.427934,43.434269,Toyota Lexus,4e0a2bb4d4c03ae0b9dcc65a,,,,,,,,Kitchener,ON,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v-1461943866,7,173,1157,true,Canada,CA,1610,-80.42846202850342,43.426899746672966,Heffner Toyota Lexus,4b92c14bf964a520b41834e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Dealer,Auto Dealerships,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,Kitchener,ON,true,N2A 1B1,http://www.heffner.ca,at Gamble Rd.,,34852477,568c4f8e498ec8e3dff565dd,,,,,,
