referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.state,location.city,allowMenuUrlEdit,location.postalCode,location.crossStreet,url,storeId,venuePage.id,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,venueChains.id,hasMenu,location.neighborhood,menu.externalUrl
v-1464363753,6,3,4,false,Australia,AU,11676,150.5225096454269,-23.3552472968601,Sportsgirl,4ecb077330f8ecd40f75aa27,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/apparel_women_,Women's Store,Women's Stores,Women's Store,4bf58dd8d48988d108951735,QLD,Berserker,true,4701,Dawson Highway,http://www.revolution.gymnastics.org.au,,38577586,,,,,,,,,
v-1464363753,1,16,27,false,Australia,AU,11464,150.521674,-23.343998,Sportscene,4d40baa3c1d4721efd4313c7,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QLD,Norman Gardens,true,4701,,,,,,,,,,,,,
v-1464363753,2,2,4,false,Australia,AU,10668,150.528247,-23.336055,Bluebirds United Sports Club,4f950ac1e4b0082566e0f929,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_,Soccer Field,Soccer Fields,Soccer Field,4cce455aebf7b749d5e191f5,QLD,North Rockhampton,true,4702,,,,,,,,,,,,,
v-1464363753,3,78,141,false,Australia,AU,11070,150.529367,-23.357087,Frenchville Sports Club,4ba82b89f964a52030cf39e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,QLD,Rockhampton,true,4680,,,,,,,,,,,,,
v-1464363753,1,9,26,false,Australia,AU,13359,150.5037170803366,-23.348423139585233,Indoor Sports Arena,4ed75ec2e5fabbd8a021feb6,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/volleyballcourt_,Volleyball Court,Volleyball Courts,Volleyball Court,4eb1bf013b7b6f98df247e07,QLD,West Gladstone,true,4680,,,,,,,,,,,,,
v-1464363753,,11,45,false,Australia,AU,12582,150.51930278208235,-23.370776020492855,AMart All Sports,4c098fa97e3fc9280839f282,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QLD,Clinton,true,,,,,,,,,,,,,,
v-1464363753,,28,616,false,Australia,AU,11629,150.51824895206397,-23.32139081700562,CQU Sports Centre,4c1abe0cb9f876b0d9337946,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/pool_,Pool,Gym Pools,Gym Pool,4bf58dd8d48988d105941735,QLD,Barney Point,true,,,,,,,,,,,,,,
v-1464363753,,2,3,false,Australia,AU,86229,151.24892704366633,-23.854631132370216,Sports Power,55d404a2498efd8ca214b3c4,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QLD,Boyne Island,true,,,,,,,,,,,,,,
v-1464363753,,4,13,false,Australia,AU,86862,151.24167417628541,-23.869843946347736,Struddy's Sports,4e8d46d182319c780c3e6f16,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,,,,,,,,,,,,,,,
v-1464363753,,4,25,false,Australia,AU,86071,151.24275582313712,-23.85855728153895,Palm Drive Sports Field,4da8ca5e5da3ba8a4761d2ec,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_,Soccer Field,Soccer Fields,Soccer Field,4cce455aebf7b749d5e191f5,,,,,,,,,,,,,,,,,
v-1464363753,,8,101,false,Australia,AU,86147,151.22682220129488,-23.87445907834466,Clinton Park Sports Association Grounds,4cb01181eb65b1f7f14069cd,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/field_,Field,Fields,Field,4bf58dd8d48988d15f941735,,,,,,,,,,,,,,,,,
v-1464363753,,2,30,false,Australia,AU,88859,151.25472274340484,-23.883303084803376,Sun Valley Sports Ground,4ccb667aba0a548181683659,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/field_,Field,Fields,Field,4bf58dd8d48988d15f941735,,,,,,,,,,,,,,,,,
v-1464363753,,51,166,false,Australia,AU,88001,151.27134242558984,-23.855817689875536,Yaralla Sports Club,4c8ade1ae51e6dcb50466dde,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,,,,,,,,,,,,,,,,,
v-1464363753,,2,10,false,Australia,AU,90437,151.26294981065146,-23.89589335827281,Meteors Sports Club,4d574c85cf1b37043212cb3f,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_,Soccer Field,Soccer Fields,Soccer Field,4cce455aebf7b749d5e191f5,,,,,,,,,,,,,,,,,
v-1464363753,,3,190,true,Australia,AU,100326,151.32806539535522,-23.96203857853093,Revolution GymSports,4d043519347da1cd376f2a8f,true,.png,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym,Gyms,Gym,4bf58dd8d48988d176941735,,,,,,,,,,,,,,,,,
v-1464363753,2,24,41,false,Australia,AU,1356,145.761524,-16.928617,Rebel Sport,4ce49597637c6ea885615942,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QLD,Cairns,true,4870,Mulgrave Rd,,,,,,,,,,,,
v-1464363753,3,1,2,false,Australia,AU,2296,145.75004,-16.914952,Advantage Sport & Leisure,507b6708e4b0ef94ad904d92,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/default_,Shop,Miscellaneous Shops,Miscellaneous Shop,4bf58dd8d48988d1ff941735,QLD,Cairns North,true,4870,,,,,,,,,,,,,
v-1464363753,1,6,7,false,Australia,AU,613,145.77284534813052,-16.925503766817485,Sportsgirl,4d33ce138250f04d114000e1,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/design_,Design,Design Studios,Design Studio,4bf58dd8d48988d1f4941735,QLD,Manunda,true,4870,,,,,,,,,,,,,
v-1464363753,2,4,4,false,Australia,AU,2809,145.75524339181965,-16.89998944744404,Marlin Coast Cycle Sport,4ebb2611e5faf7ab653b7308,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_,Bike Shop,Bike Shops,Bike Shop,4bf58dd8d48988d115951735,QLD,Westcourt,true,4870,,,,,,,,,,,,,
v-1464363753,1,30,228,false,Australia,AU,2330,145.7503536688886,-16.92764465600595,Sportsworld,4d704bea9afdb60c60633152,true,.png,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym,Gyms,Gym,4bf58dd8d48988d176941735,QLD,Cairns North,true,4870,,,,,,,,,,,,,
v-1464363753,1,19,68,false,Australia,AU,2752,145.75073897587308,-16.935847922103395,Sportscene Super Warehouse,4df586cb62e1288ed30b07be,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QLD,Mooroobool,true,4870,,,,,,,,,,,,,
v-1464363753,0,2,3,false,Australia,AU,2342,145.759864,-16.902108,Cairns Lacrosse Sports Fields,4ec32b758231d4c9fe82cc53,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,QLD,Manunda,true,4870,,,,,,,,,,,,,
v-1464363753,,17,42,false,Australia,AU,4406,145.73050988973532,-16.929115047682686,Kangaroos Football & Sporting Club,4ce64a97fe90a35d352d350e,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,QLD,Earlville,true,4870,,,,,,,,,,,,,
v-1464363753,,15,67,false,Australia,AU,2967,145.7435703669364,-16.914970654059708,Cairns Indoor Sports,4dbb7e17fa8cee727333d8e5,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_,Stadium,Stadiums,Stadium,4bf58dd8d48988d184941735,QLD,Earlville,true,4878,,,,,,,,,,,,,
v-1464363753,,5,8,false,Australia,AU,4046,145.74090602662184,-16.942695327333052,Amart Sports,51e37430498ea3e16441a555,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QLD,Cairns,true,4881,,,,,,,,,,,,,
