referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.state,location.city,allowMenuUrlEdit,location.postalCode,url,location.crossStreet,venueChains.id,storeId,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,hasMenu,venuePage.id,location.neighborhood,menu.externalUrl
v-1464363687,1,8,63,false,Canada,CA,1135,-118.7853028,55.1698412,Anodyne Chiropractic And Sports Therapy,4d63f734dbeb224b1f93a545,true,.png,https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_,Chiropractors,Chiropractors,Chiropractor,52e81612bcbc57f1066b7a3a,AB,Grande Prairie,true,T8V 8H5,http://www.anodynechiropractic.ca,108 ST,,,https://foursquare.com/v/4dd95c698877f1151018c277/device_menu,https://foursquare.com/v/the-zone-sports-bar--grill/4dd95c698877f1151018c277/menu,View Menu,Menu,Menu,true,,,
v-1464363687,1,2,2,false,Canada,CA,2129,-118.82016057503915,55.168315861678735,Countryside Motor Sports,4f7c8e96e4b0d1da88f990fc,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,AB,Grande Prairie,true,T8X 1R1,http://www.stojans.com,111 St,,,,,,,,,,,
v-1464363687,1,1,2,false,Canada,CA,2320,-118.81335552457666,55.14398535776278,Ernies sports experts,4fae97b0e4b0085e226e7e2d,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Clairmont,true,T8V 3Y2,http://yp.ca/bus/1346661,74 avenue,,,,,,,,,,,
v-1464363687,1,12,60,false,Canada,CA,8536,-118.8176319994422,55.2350503653129,Sportsplex,50df2a0fe4b0f94bcd4cc276,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,AB,Grande Prairie,true,T8X 0B6,,,,,,,,,,,,,
v-1464363687,0,61,287,true,Canada,CA,2774,-118.795513,55.18472,Ernie's Sports Experts,4bde574c0d69b713bff565d3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Grande Prairie,true,T0H 0W0,,,,,,,,,,,,,
v-1464363687,,22,33,false,Canada,CA,3111,-118.79224777221678,55.18792136707255,Action Sportswear,51799079ebca317f569b2a65,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Apparel,Clothing Stores,Clothing Store,4bf58dd8d48988d103951735,AB,Grande Prairie,true,T0H 3N0,,,,,,,,,,,,,
v-1464363687,,29,44,false,Canada,CA,2859,-118.83014520799466,55.17158063747243,Wholesale Sports,4c94125772dd224b51c79691,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Grande Prairie,true,,,,,,,,,,,,,,
v-1464363687,,5,23,false,Canada,CA,2816,-118.82251,55.177191,The Zone: Sports Bar & Grill,4dd95c698877f1151018c277,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,AB,Grande Prairie,true,,,,,,,,,,,,,,
v-1464363687,,1,1,false,Canada,CA,7002,-118.77466,55.222288,Stojan's Power Sports and Marine,4c918ee67088a1432053b243,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/motorcycle_,Motorcycle Shop,Motorcycle Shops,Motorcycle Shop,5032833091d4c4b30a586d60,AB,Clairmont,true,,,,,,,,,,,,,,
v-1464363687,,0,0,false,Canada,CA,8899,-118.81722450256346,55.23842016113108,Players Bench Sports Lounge,55c8dabc498e9cd3aa2e6d6a,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,AB,Valleyview,,,,,,,,,,,,,,,
v-1464363687,,,,false,Canada,CA,96595,-117.281897,55.065367,Rob B's Sports & Industrial Equipment,565d0374498e4743232b00cb,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,,,,,,,,,,,,,,,
v-1464363687,1,11,26,true,Canada,CA,2168,-105.7563556837598,53.200644601443905,Sport Chek Gateway Mall,4d014d79895a2c0f0bc3c7c3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,SK,Prince Albert,true,S6V 7J4,https://www.sportchek.ca,1st Avenue,556a384aa7c8957d73d54f0d,,,,,,,,,,
v-1464363687,,2,2,false,Canada,CA,2248,-105.74452447922286,53.20204810480412,source for sports,4fc16c3be4b071420eb690a5,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,SK,Prince Albert,true,S6V 7L4,http://www.sourceforsports.com/Stores/116-Source-For-Sports-Prince-Albert.aspx,,,,,,,,,,,,
v-1464363687,,3,6,false,Canada,CA,1763,-105.75421594536112,53.204544348478834,Gene's Sports,4fcfb2c7e4b04c44ffc8379c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,SK,Prince Albert,true,S0E 1A0,http://www.sourceforsports.com/Stores/104-Northeast-Source-For-Sports.aspx,,,,,,,,,,,,
v-1464363687,,2,2,false,Canada,CA,4413,-105.76375843867764,53.18041994185685,Source For Sports Prince Albert,55ed6177498ebb2cdc67ef03,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,SK,Rosthern,true,,,,,,,,,,,,,,
v-1464363687,,1,1,false,Canada,CA,4343,-105.760682,53.180985,Players Sports Bar,51c3bdbd498ec423cc5ed688,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,Bars,Bar,4bf58dd8d48988d116941735,SK,Melfort,true,,,,,,,,,,,,,,
v-1464363687,,2,2,false,Canada,CA,72992,-106.334306,52.663068,Valley Sports and Hardware,5384e9a3498e3e40a586ac47,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/hardware_,Hardware,Hardware Stores,Hardware Store,4bf58dd8d48988d112951735,SK,Spiritwood,true,,,,,,,,,,,,,,
v-1464363687,,1,4,false,Canada,CA,86535,-104.61321115493774,52.86096878544149,Northeast Source For Sports,55ed6ea1498eaad440dac73d,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,true,,,,,,,,,,,,,,
v-1464363687,,,,false,Canada,CA,118174,-107.5194700208609,53.364788960115426,Spiritwood sports arena,4f249210e4b02a95fe94def2,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_hockey_,Hockey,Hockey Arenas,Hockey Arena,4bf58dd8d48988d185941735,,,,,,,,,,,,,,,,,
v-1464363687,,,,false,Canada,CA,138758,-105.86960345263618,51.975282971129964,Colonsay District Sports Centre,4f80c34fe4b0ef20987fc5c4,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_hockey_,Hockey Field,Hockey Fields,Hockey Field,4f452cd44b9081a197eba860,,,,,,,,,,,,,,,,,
v-1464363687,2,45,89,true,Canada,CA,1593,-111.3787928158672,56.7243006533963,SportChek,4c7bf0b697028cfa2a5fe2fe,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Fort McMurray,true,T9H 5P3,https://www.sportchek.ca,Franklin Avenue,556a384aa7c8957d73d54f0d,,https://foursquare.com/v/4b5e8b9ff964a520379229e3/device_menu,https://foursquare.com/v/longshots-sports-bar/4b5e8b9ff964a520379229e3/menu,View Menu,Menu,Menu,true,,,
v-1464363687,1,70,463,false,Canada,CA,1999,-111.347382,56.71143,Syncrude Sport and Wellness Centre,4b65d260f964a52008022be3,true,.png,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym,Gyms,Gym,4bf58dd8d48988d176941735,AB,Fort McMurray,true,T9H 1S9,,,,,,,,,,,,,
v-1464363687,5,2,2,false,Canada,CA,1667,-111.377804,56.724928,Sports Closet,4de41bce7d8b2547eb2bbd3d,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Apparel,Clothing Stores,Clothing Store,4bf58dd8d48988d103951735,AB,Fort McMurray,true,T9H 1S3,,,,,,,,,,,,,
v-1464363687,1,12,24,false,Canada,CA,1976,-111.38505935668945,56.72753895276807,Sports Wise Source For Sports,4d6d2c4ee7ab224b17007af7,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Fort McMurray,true,,,,,,,,,,,,,,
v-1464363687,0,3,3,false,Canada,CA,1852,-111.35901,56.722008,Victory Sports Lounge,4ca12f16542b224b7c760ca0,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Fort McMurray,true,,,,,,,,,,,,,,
v-1464363687,,2,4,false,Canada,CA,1900,-111.363,56.7243,Habitual sports,535c176e498e7d01f7940c1a,true,.png,https://ss3.4sqi.net/img/categories_v2/food/burger_,Burgers,Burger Joints,Burger Joint,4bf58dd8d48988d16c941735,AB,Fort McMurray,true,,,,,,,,,,,,,,
v-1464363687,,50,125,false,Canada,CA,1900,-111.38476967811584,56.72686793536277,Longshots Sports Bar,4b5e8b9ff964a520379229e3,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,,,true,,,,,,,,,,,,,,
v-1464363687,,3,5,false,Canada,CA,3398,-111.3505,56.684124,Victory Sports Bar,518f010d498e971bd7bea6f6,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,,,,,,,,,,,,,,,,,
v-1464363687,,4,4,false,Canada,CA,36107,-111.04235947021662,56.44425339378174,Anzac Sports Centre,51ded1d3498e31445f98a855,,,,,,,,,,,,,,,,,,,,,,,,
v-1464363687,1,17,53,false,Canada,CA,2582,-77.78712283295887,48.10250726841875,Bar Au Sport,4efab835be7bb4785089f235,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,Bars,Bar,4bf58dd8d48988d116941735,QC,Val-d'Or,true,J9P 5K1,http://carrefourdunordouest.com,,5569fe7da7c8896abe7dbf9c,,,,,,,,,,
v-1464363687,1,2,2,false,Canada,CA,1465,-77.826715,48.097619,Sports Experts,560c905c498e427b7c647640,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QC,Val-d'Or,true,J9X 4P2,http://www.cage.ca,,5569fe7da7c8896abe7dbf9c,,,,,,,,,,
v-1464363687,1,91,187,true,Canada,CA,1344,-77.82182200827891,48.09797912266821,Cage aux Sports,4e8e7f76b63430010bfa6dd1,true,.png,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,Restaurants,Restaurant,4bf58dd8d48988d1c4941735,QC,Val-d'Or,true,J0Z 1Y1,http://www.cage.ca,,,,,,,,,,,,
v-1464363687,0,11,14,false,Canada,CA,2753,-77.801378,48.088623,Club Sports Belvedere,5138999ae4b0515b31820911,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,QC,Val-d'Or,true,,http://www.sourceforsports.com/Stores/13-La-Source-du-Sport-Rouyn-Noranda.aspx,,,,,,,,,,,,
v-1464363687,,28,224,false,Canada,CA,55492,-78.111298,48.569364,Complexe Sportif,4e45257d1838e44e89957bfa,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_hockey_,Hockey,Hockey Arenas,Hockey Arena,4bf58dd8d48988d185941735,QC,Amos,true,,http://www.cage.ca,,,,,,,,,,,,
v-1464363687,,1,1,false,Canada,CA,56461,-78.10552978515625,48.58036804199219,Cage aux Sports,5389f6a2498e379b2c87a94f,true,.png,https://ss3.4sqi.net/img/categories_v2/food/bbqalt_,BBQ,BBQ Joints,BBQ Joint,4bf58dd8d48988d1df931735,QC,Amos,true,,http://www.motosportducuivre.com,,,,,,,,,,,,
v-1464363687,,10,79,false,Canada,CA,90293,-79.02034,48.241233,Belisle La Source Du Sport,4f63420ee4b02cbb7ddb8383,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QC,Rouyn-Noranda,true,,,,,,,,,,,,,,
v-1464363687,,2,2,false,Canada,CA,90270,-79.0200662612915,48.241095366223604,La Source du Sport Rouyn-Noranda,55ee8654498e0bee1d8a031e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QC,Rouyn-Noranda,true,,,,,,,,,,,,,,
v-1464363687,,3,3,false,Canada,CA,90813,-79.022893,48.259397,Moto Sport De La Capitale,514b0156e4b0bb06fcae1118,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/motorcycle_,Motorcycle Shop,Motorcycle Shops,Motorcycle Shop,5032833091d4c4b30a586d60,QC,Rouyn-Noranda,true,,,,,,,,,,,,,,
v-1464363687,,4,9,false,Canada,CA,90378,-79.02184501237335,48.23978218213006,sports experts,4f63460ee4b045ea91b2f69c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,true,,,,,,,,,,,,,,
v-1464363687,,73,189,false,Canada,CA,90399,-79.022141,48.239716,Sports Experts / Atmosphère,52bdc2b9498e2aa431f19b4e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,true,,,,,,,,,,,,,,
v-1464363687,,2,3,true,Canada,CA,89105,-79.0074,48.226541,Cage aux Sports,4d9e2d0a4811a1cd888ce7ed,true,.png,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,Restaurants,Restaurant,4bf58dd8d48988d1c4941735,,,true,,,,,,,,,,,,,,
v-1464363687,,13,22,false,Canada,CA,96121,-79.0993689,48.2433671,Moto Sport Du Cuivre Inc,56356cfc498e5e231d351660,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/motorcycle_,Motorcycle Shop,Motorcycle Shops,Motorcycle Shop,5032833091d4c4b30a586d60,,,,,,,,,,,,,,,,,
v-1464363687,,,,false,Canada,CA,96592,-79.106037,48.242256,Moto Sport Du Cuivre,514afcffe4b0808525de22ff,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,Bars,Bar,4bf58dd8d48988d116941735,,,,,,,,,,,,,,,,,
