referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.country,location.cc,location.distance,location.lng,location.lat,name,id,allowMenuUrlEdit,location.state,location.city,location.postalCode
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
v-1462919061,0,0,0,false,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/karaoke_,Karaoke,Karaoke Bars,Karaoke Bar,4bf58dd8d48988d120941735,United States,US,92677,-78.858643,42.958653,Tesco,4d16b58bcc216ea8d18c6ad3,true,NY,Buffalo,14217
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
v-1462919061,0,0,0,false,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_,Convenience Store,Convenience Stores,Convenience Store,4d954b0ea243a5684a65b473,Canada,CA,26452,-114.1960220336914,51.011714935302734,Tesco Express,4eeba32caa1f66e35b655a27,true,AB,Calgary,T3H 4Y6
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
v-1462919061,0,0,0,false,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/karaoke_,Karaoke,Karaoke Bars,Karaoke Bar,4bf58dd8d48988d120941735,United States,US,107018,-78.858643,42.958653,Tesco,4d16b58bcc216ea8d18c6ad3,true,NY,Buffalo,14217
,,,,,,,,,,,,,,,,,,,,,,
v-1462919061,0,0,0,false,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/karaoke_,Karaoke,Karaoke Bars,Karaoke Bar,4bf58dd8d48988d120941735,United States,US,115237,-78.858643,42.958653,Tesco,4d16b58bcc216ea8d18c6ad3,true,NY,Buffalo,14217
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
v-1462919061,0,6,43,false,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,United States,US,86210,-83.41673709969503,41.637549541180185,TESCO,4e12aaf5aeb74afe60c867b8,true,OH,Oregon,43616
v-1462919061,,2,2,false,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Automotive,Automotive Shops,Automotive Shop,4bf58dd8d48988d124951735,United States,US,85595,-83.43560457229614,41.65218445529102,Trans. Equip. Sales Corp. (TESCO),508a515345b0fe24f7a6c646,true,OH,Oregon,
